,代码,名称,板块,现价,涨跌幅,换手率,成交额,选股理由
0,600084,中信尼雅,上证主板,5.74,9.96,0.74,46553928,MA5斜率为正 (0.0224)
1,600110,诺德股份,上证主板,4.37,8.44,5.99,447570177,MA5斜率为正 (0.0064)
